Date,Description,Amount,Category
2025-12-20,HEALTH INS PREMIUM,-900.00,Health Insurance
2025-12-21,CHECK #1001 HEALTH INS,-900.00,Insurance Premium
2026-01-02,DIRECT DEP ACME CORP PAYROLL,100.00,Paycheck
2026-01-15,WALMART GROCERY,-1200.00,Groceries
2026-02-15,WALMART GROCERY,-1200.00,Groceries
2026-03-01,HEALTH INS REFUND,50.00,Health Insurance
2026-03-15,WALMART GROCERY,-1200.00,Groceries
2026-04-15,WALMART GROCERY,-1200.00,Groceries
2026-05-05,HEALTH INS PREMIUM,-900.00,Health Insurance
2026-05-15,WALMART GROCERY,-1200.00,Groceries
2026-06-05,HEALTH INS PREMIUM,-900.00,Health Insurance
2026-06-15,WALMART GROCERY,-1200.00,Groceries
