Date,Description,Amount,Category
2024-07-05,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-07-12,WALMART GROCERY,-87.34,Groceries
2024-07-15,SHELL GAS STATION,-45.23,Gas & Fuel
2024-07-19,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-07-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-07-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-07-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-07-25,KROGER GROCERIES,-123.45,Groceries
2024-07-28,AMAZON PURCHASE,-67.89,Shopping
2024-07-30,ELECTRIC COMPANY BILL,-142.50,Utilities
2024-08-02,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-08-05,TARGET SHOPPING,-89.99,Shopping
2024-08-08,WHOLE FOODS MARKET,-156.78,Groceries
2024-08-12,CHEVRON GAS,-52.10,Gas & Fuel
2024-08-16,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-08-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-08-21,WATER UTILITY,-45.00,Utilities
2024-08-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-08-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-08-25,TRADER JOES,-98.76,Groceries
2024-08-28,RESTAURANT DINNER,-78.50,Dining Out
2024-08-30,ELECTRIC COMPANY BILL,-138.25,Utilities
2024-09-06,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-09-08,COSTCO WHOLESALE,-234.56,Groceries
2024-09-10,BP GAS STATION,-48.90,Gas & Fuel
2024-09-15,INTERNET PROVIDER,-79.99,Utilities
2024-09-20,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-09-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-09-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-09-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-09-24,PHONE BILL VERIZON,-85.00,Utilities
2024-09-26,KROGER GROCERIES,-112.34,Groceries
2024-09-28,UBER RIDE,-23.45,Transportation
2024-09-30,ELECTRIC COMPANY BILL,-155.75,Utilities
2024-10-04,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-10-06,ALDI GROCERIES,-67.89,Groceries
2024-10-10,SHELL GAS STATION,-55.20,Gas & Fuel
2024-10-12,HOME DEPOT,-145.67,Home Improvement
2024-10-15,SIDE GIG PAYMENT,450.00,Other Income
2024-10-18,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-10-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-10-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-10-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-10-25,WALMART GROCERY,-143.21,Groceries
2024-10-27,CHIPOTLE RESTAURANT,-15.75,Dining Out
2024-10-30,ELECTRIC COMPANY BILL,-148.90,Utilities
2024-11-01,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-11-03,PUBLIX GROCERIES,-178.45,Groceries
2024-11-07,EXXON GAS,-49.80,Gas & Fuel
2024-11-10,AMAZON PRIME YEARLY,-139.00,Shopping
2024-11-15,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
